backend,model,dtype,batch,max_new_tokens,avg_ttft,avg_latency,tokps_new
vLLM,Qwen/Qwen2.5-7B-Instruct,bfloat16,16,512,0.029691,5.348282,1531.706684
vLLM,Qwen/Qwen2.5-7B-Instruct,bfloat16,16,512,0.029884,5.354140,1530.031010
