sequence_length,prefill_time_sec,decode_time_sec,per_token_decode_latency_ms,throughput_tokens_per_sec,gpu_memory_MB
512,0.28570032119750977,3.0676937103271484,23.966357111930847,41.7251564486696,15543.150390625
512,0.28057312965393066,3.0643088817596436,23.939913138747215,41.77124596085023,15543.150390625
4096,0.5930032730102539,3.240108013153076,25.313343852758408,39.504855850604244,16871.07421875
