batch_size,prefill_time_sec,decode_time_sec,per_token_decode_latency_ms,throughput_tokens_per_sec,gpu_memory_MB
1,0.5945100784301758,3.2341625690460205,25.266895070672035,39.57747864163677,16871.07421875
2,0.8185973167419434,3.5849287509918213,28.007255867123604,71.41006635882903,18417.51416015625
4,1.6733818054199219,4.0044074058532715,31.284432858228683,127.8591182434649,21510.39404296875
8,3.375507354736328,5.3741679191589355,41.985686868429184,190.54112476639125,27696.19677734375
1,0.5977768898010254,3.2388224601745605,25.303300470113754,39.520536112714645,16871.07421875
2,0.8234391212463379,3.587435722351074,28.026841580867767,71.36016358565638,18417.51416015625
4,1.679553747177124,4.008336782455444,31.31513111293316,127.73377782052455,21510.39404296875
8,3.3949432373046875,5.377705335617065,42.013322934508324,190.41578816487925,27696.19677734375
1,0.596656084060669,3.2373478412628174,25.29178000986576,39.53853780200216,16871.07421875
2,0.8183321952819824,3.588108539581299,28.032097965478897,71.34678262265527,18417.51416015625
4,1.6698148250579834,4.010391473770142,31.33118338882923,127.66833446278807,21510.39404296875
8,3.3768417835235596,5.380195140838623,42.03277453780174,190.3276690146943,27696.19677734375
