backend,model,batch_size,avg_ttft,avg_latency,tokps_new,throughput,latency,model_file,dtype,device,tokps_total,avg_kv_cache_mb,tokens_per_sec,gpu_mem_mb
vLLM,/workspace/hf_models/mistral_7b,2,0.047937,11.083513,,92.39,11.083513,vllm_mistral_7b_scaling,bfloat16,cuda,,,92.39,36796.0
vLLM,/workspace/hf_models/mistral_7b,4,0.0508,11.164301,,183.44,11.164301,vllm_mistral_7b_scaling,bfloat16,cuda,,,183.44,36796.0
vLLM,/workspace/hf_models/mistral_7b,8,0.056919,11.3798,,359.94,11.3798,vllm_mistral_7b_scaling,bfloat16,cuda,,,359.94,36796.0
vLLM,/workspace/hf_models/mistral_7b,1,0.046053,10.712199,,47.8,10.712199,vllm_mistral_7b_scaling,bfloat16,cuda,,,47.8,36796.0
TensorRT-LLM,meta-llama/Llama-3.1-8B,1,0.027129,11.217291,45.643922,45.643922,11.217291,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,2,0.027404,11.230896,91.177102,91.177102,11.230896,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,4,0.029536,11.319329,180.929453,180.929453,11.319329,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,8,0.035161,11.868658,345.110762,345.110762,11.868658,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,16,0.057229,12.24572,668.968573,668.968573,12.24572,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,1,0.027871,11.391175,44.947271,44.947271,11.391175,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,2,0.02785,11.383603,89.954098,89.954098,11.383603,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,4,0.030038,11.441485,179.003268,179.003268,11.441485,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,8,0.035348,11.866415,345.176763,345.176763,11.866415,trt_llama3_1_8b,,,,,,
TensorRT-LLM,meta-llama/Llama-3.1-8B,16,0.057145,12.281675,667.026679,667.026679,12.281675,trt_llama3_1_8b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,1,0.025514,10.589014,48.352017,48.352017,10.589014,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,2,0.026328,10.616239,96.456052,96.456052,10.616239,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,4,0.028554,10.702424,191.358601,191.358601,10.702424,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,8,0.03471,11.251962,364.025557,364.025557,11.251962,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,16,0.057945,11.611049,705.53489,705.53489,11.611049,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,1,0.02527,10.616542,48.227731,48.227731,10.616542,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,2,0.026379,10.594083,96.657734,96.657734,10.594083,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,4,0.028602,10.686891,191.636649,191.636649,10.686891,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,8,0.034352,11.233316,364.629686,364.629686,11.233316,trt_mistral_7b,,,,,,
TensorRT-LLM,mistralai/Mistral-7B-Instruct-v0.3,16,0.057155,11.595674,706.470552,706.470552,11.595674,trt_mistral_7b,,,,,,
vLLM,/workspace/hf_models/llama3_1_8b,1,0.048756,11.317801,,45.24,11.317801,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,45.24,39656.0
vLLM,/workspace/hf_models/llama3_1_8b,2,0.051538,11.84824,,86.43,11.84824,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,86.43,39656.0
vLLM,/workspace/hf_models/llama3_1_8b,4,0.05373,11.808916,,173.43,11.808916,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,173.43,39656.0
vLLM,/workspace/hf_models/llama3_1_8b,8,0.05964,12.130678,,337.67,12.130678,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,337.67,39656.0
vLLM,/workspace/hf_models/llama3_1_8b,1,0.049219,11.40443,,44.9,11.40443,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,44.9,39656.0
vLLM,/workspace/hf_models/llama3_1_8b,2,0.050876,11.769248,,87.01,11.769248,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,87.01,39656.0
vLLM,/workspace/hf_models/llama3_1_8b,4,0.053134,11.761884,,174.12,11.761884,vllm_llama3_1_8b_scaling,bfloat16,cuda,,,174.12,39656.0
